sample_id,mission,condition,plant_number,harvest_day,crop,Fe,K,Na,P,S,Zn,Ca,Mg,Mn,Cu,phenolics,anthocyanins,orac,micro_apc,micro_ymc
VEG01B_FLT_2,VEG-01B,Flight,2,33,lettuce,0.195,36.2,4.6,8.2,4.8,0.089,14.0,4.8,0.11,0.012,14.0,1.55,460.0,4.28,2.28
VEG01B_FLT_3,VEG-01B,Flight,3,33,lettuce,0.182,40.1,3.95,7.5,4.25,0.076,12.5,4.25,0.095,0.01,12.5,1.38,415.0,3.98,2.02
VEG01B_FLT_4,VEG-01B,Flight,4,33,lettuce,0.191,37.8,4.4,8.0,4.65,0.085,13.5,4.65,0.105,0.011,13.6,1.5,448.0,4.18,2.2
VEG01B_FLT_5,VEG-01B,Flight,5,33,lettuce,0.185,39.2,4.1,7.7,4.4,0.079,12.8,4.4,0.098,0.01,12.9,1.42,428.0,4.05,2.1
VEG01B_FLT_6,VEG-01B,Flight,6,33,lettuce,0.198,35.0,4.8,8.45,5.05,0.094,14.5,4.95,0.115,0.013,14.5,1.62,475.0,4.35,2.35
VEG01B_GRD_1,VEG-01B,Ground,1,33,lettuce,0.175,41.5,2.45,6.8,3.65,0.058,12.5,4.3,0.096,0.01,9.8,1.35,385.0,3.55,1.55
VEG01B_GRD_2,VEG-01B,Ground,2,33,lettuce,0.168,43.0,2.2,6.5,3.45,0.052,11.8,4.1,0.09,0.009,9.2,1.28,365.0,3.42,1.48
VEG01B_GRD_3,VEG-01B,Ground,3,33,lettuce,0.182,39.8,2.7,7.1,3.88,0.064,13.1,4.52,0.102,0.011,10.4,1.42,405.0,3.68,1.65
VEG01B_GRD_4,VEG-01B,Ground,4,33,lettuce,0.172,42.0,2.35,6.65,3.55,0.055,12.0,4.22,0.093,0.01,9.5,1.32,375.0,3.48,1.5
VEG01B_GRD_5,VEG-01B,Ground,5,33,lettuce,0.165,43.8,2.1,6.35,3.35,0.05,11.5,4.02,0.088,0.008,9.0,1.25,355.0,3.35,1.42
VEG01B_GRD_6,VEG-01B,Ground,6,33,lettuce,0.185,39.0,2.9,7.35,4.05,0.068,13.5,4.68,0.108,0.012,10.8,1.48,420.0,3.78,1.72
VEG03A_FLT_1,VEG-03A,Flight,1,33,lettuce,0.115,28.5,2.35,5.1,3.4,0.062,11.8,4.15,0.089,0.009,10.5,1.1,355.0,3.7,1.75
VEG03A_FLT_2,VEG-03A,Flight,2,33,lettuce,0.122,26.8,2.55,4.85,3.62,0.068,12.4,4.38,0.095,0.01,11.2,1.18,375.0,3.85,1.85
VEG03A_FLT_3,VEG-03A,Flight,3,33,lettuce,0.108,30.2,2.15,5.35,3.2,0.058,11.2,3.95,0.084,0.008,9.8,1.02,338.0,3.55,1.62
VEG03A_FLT_4,VEG-03A,Flight,4,33,lettuce,0.118,27.9,2.45,5.0,3.5,0.065,12.0,4.25,0.092,0.009,10.8,1.14,362.0,3.75,1.78
VEG03A_FLT_5,VEG-03A,Flight,5,33,lettuce,0.112,29.1,2.25,5.2,3.3,0.06,11.5,4.05,0.087,0.008,10.2,1.06,345.0,3.62,1.68
VEG03A_FLT_6,VEG-03A,Flight,6,33,lettuce,0.125,25.5,2.7,4.7,3.75,0.072,12.8,4.5,0.098,0.011,11.6,1.22,390.0,3.92,1.92
VEG03A_GRD_1,VEG-03A,Ground,1,33,lettuce,0.142,36.5,1.65,5.85,2.85,0.046,11.5,4.05,0.088,0.009,8.5,1.12,340.0,3.3,1.35
VEG03A_GRD_2,VEG-03A,Ground,2,33,lettuce,0.138,38.0,1.5,6.05,2.7,0.042,11.0,3.88,0.082,0.008,8.0,1.05,325.0,3.18,1.28
VEG03A_GRD_3,VEG-03A,Ground,3,33,lettuce,0.148,35.0,1.8,5.65,3.0,0.05,12.0,4.22,0.094,0.01,9.0,1.18,355.0,3.42,1.45
VEG03A_GRD_4,VEG-03A,Ground,4,33,lettuce,0.14,37.2,1.6,5.92,2.8,0.044,11.2,3.98,0.086,0.008,8.2,1.08,332.0,3.25,1.32
VEG03A_GRD_5,VEG-03A,Ground,5,33,lettuce,0.135,38.8,1.45,6.18,2.62,0.04,10.8,3.8,0.08,0.007,7.8,1.02,318.0,3.12,1.22
VEG03A_GRD_6,VEG-03A,Ground,6,33,lettuce,0.15,34.2,1.92,5.5,3.12,0.052,12.4,4.35,0.098,0.011,9.4,1.22,370.0,3.5,1.52
VEG04A_FLT_1,VEG-04A,Flight,1,28,mizuna,0.21,46.5,3.4,7.8,6.4,0.078,24.2,5.85,0.145,0.013,12.8,0.72,475.0,4.15,2.05
VEG04A_FLT_2,VEG-04A,Flight,2,28,mizuna,0.225,44.2,3.75,8.15,6.75,0.084,25.5,6.1,0.155,0.014,13.5,0.78,505.0,4.32,2.18
VEG04A_FLT_3,VEG-04A,Flight,3,28,mizuna,0.198,48.0,3.15,7.5,6.1,0.072,23.0,5.6,0.138,0.012,12.0,0.68,450.0,3.98,1.92
VEG04A_FLT_4,VEG-04A,Flight,4,28,mizuna,0.218,45.8,3.55,7.95,6.55,0.08,24.8,5.95,0.148,0.013,13.0,0.75,488.0,4.22,2.1
VEG04A_FLT_5,VEG-04A,Flight,5,28,mizuna,0.205,47.1,3.28,7.68,6.28,0.075,23.8,5.75,0.142,0.012,12.4,0.7,465.0,4.08,2.0
VEG04A_FLT_6,VEG-04A,Flight,6,28,mizuna,0.23,43.0,3.9,8.35,6.95,0.088,26.2,6.25,0.16,0.015,14.0,0.82,525.0,4.45,2.28
VEG04A_GRD_1,VEG-04A,Ground,1,28,mizuna,0.185,49.2,2.65,8.1,5.45,0.065,21.5,5.4,0.132,0.011,9.8,0.78,435.0,3.25,1.35
VEG04A_GRD_2,VEG-04A,Ground,2,28,mizuna,0.178,51.0,2.4,8.35,5.2,0.06,20.8,5.2,0.125,0.01,9.2,0.72,415.0,3.12,1.25
VEG04A_GRD_3,VEG-04A,Ground,3,28,mizuna,0.192,47.8,2.85,7.85,5.68,0.07,22.2,5.62,0.14,0.012,10.4,0.82,455.0,3.38,1.45
VEG04A_GRD_4,VEG-04A,Ground,4,28,mizuna,0.182,50.1,2.52,8.22,5.35,0.062,21.1,5.32,0.128,0.011,9.5,0.75,425.0,3.2,1.3
VEG04A_GRD_5,VEG-04A,Ground,5,28,mizuna,0.172,52.0,2.3,8.5,5.08,0.058,20.2,5.1,0.12,0.009,8.9,0.7,405.0,3.05,1.2
VEG04A_GRD_6,VEG-04A,Ground,6,28,mizuna,0.198,46.5,3.02,7.65,5.85,0.074,22.8,5.78,0.145,0.013,10.8,0.86,470.0,3.48,1.55
VEG04B_FLT_1,VEG-04B,Flight,1,28,mizuna,0.205,47.2,3.55,7.65,6.25,0.075,23.8,5.75,0.142,0.012,12.2,0.7,465.0,4.05,1.98
VEG04B_FLT_2,VEG-04B,Flight,2,28,mizuna,0.218,45.0,3.88,8.0,6.58,0.082,25.0,6.0,0.15,0.014,13.0,0.75,492.0,4.22,2.12
VEG04B_FLT_3,VEG-04B,Flight,3,28,mizuna,0.192,49.0,3.25,7.35,5.95,0.07,22.5,5.5,0.135,0.011,11.5,0.65,440.0,3.9,1.85
VEG04B_FLT_4,VEG-04B,Flight,4,28,mizuna,0.212,46.2,3.68,7.82,6.4,0.078,24.2,5.85,0.145,0.013,12.5,0.72,478.0,4.12,2.05
VEG04B_FLT_5,VEG-04B,Flight,5,28,mizuna,0.2,48.1,3.4,7.5,6.12,0.072,23.2,5.65,0.138,0.012,11.8,0.68,455.0,4.0,1.92
VEG04B_FLT_6,VEG-04B,Flight,6,28,mizuna,0.225,43.8,4.05,8.2,6.78,0.086,25.8,6.15,0.156,0.015,13.5,0.8,512.0,4.35,2.22
VEG04B_GRD_1,VEG-04B,Ground,1,28,mizuna,0.18,50.2,2.5,7.95,5.3,0.062,21.0,5.3,0.128,0.01,9.4,0.75,422.0,3.18,1.28
VEG04B_GRD_2,VEG-04B,Ground,2,28,mizuna,0.172,52.1,2.25,8.2,5.05,0.056,20.2,5.1,0.12,0.009,8.8,0.7,402.0,3.05,1.18
VEG04B_GRD_3,VEG-04B,Ground,3,28,mizuna,0.188,48.5,2.72,7.7,5.52,0.066,21.8,5.5,0.135,0.011,10.0,0.8,442.0,3.32,1.38
VEG04B_GRD_4,VEG-04B,Ground,4,28,mizuna,0.178,51.0,2.38,8.08,5.2,0.06,20.6,5.22,0.125,0.01,9.1,0.72,412.0,3.12,1.22
VEG04B_GRD_5,VEG-04B,Ground,5,28,mizuna,0.168,53.0,2.15,8.35,4.95,0.054,19.8,5.0,0.116,0.008,8.5,0.66,392.0,2.98,1.12
VEG04B_GRD_6,VEG-04B,Ground,6,28,mizuna,0.192,47.2,2.9,7.52,5.7,0.07,22.2,5.65,0.14,0.012,10.5,0.84,458.0,3.42,1.48
